text,label
See clause for encapsulation of 3D video in 3GP files and clause for inclusion of 3D video information in the DASH MPD,0
"Additionally, when one representation carries both the base view and the non-base view of an MVC bitstream, SubRepresentation element @level and @dependencyLevel attributes are used for the representation to indicate the base view and the non-base view in separate sub-representations, and the Level Assignment box and a Subsegment Index box per each Segment Index box that indexes only leaf subsegments are used in the segment format to indicate the presence and location of base view and non-base view data within segments",0
"In contrast to AoCI, AoCC is binding and must correspond to the actual charges",0
The HNB MAY locally PeriodicUploadTime is choose the time used only to set the reference,0
"Then the IP-SM-GW shall send a SIP MESSAGE request with the following a) the Request-URI, which shall contain a public user identity of the SM over-IP receiver associated with the received IMSI b) the Accept-Contact header, which shall contain a ""+g.3gpp.smsip"" parameter and the ""explicit"" and ""require"" tags according to c) the Request-Disposition header which shall contain the ""no-fork"" d) the P-Asserted-Identity header which shall contain the SIP URI of the e) the Content-Type header which shall contain f) the body of the request which shall contain an RP-DATA message as for the encoding of the SM in the body of the SIP MESSAGE request If the IP-SM-GW cannot deliver the short message successfully in a SIP MESSAGE request and cannot deliver the short message via SGSN or MSC, then both), the IP-SM-GW can also attempt the delivery of a short message via SGSN or MSC or both before sending a delivery report to SC via SMS-GMSC",1
MSD test points for Scell due to dual uplink operation for EN-DC in NR FR1 (three bands) NR or E-UTRA Band / Channel bandwidth / NRB / MSD EUTRA / NR band,0
Range: 0 - 7 This field specifies a model to relate GNSS system time to a selected time reference,0
The MCVideo client shares the same SIP registration as the other MC service clients,1
One or more candidate cells go into outage with the consequence that coverage of the original cell can not be provided,1
"Capture video, video clips and images of sufficient quality to perform the intended purpose",0
The MCVideo service shall provide a mechanism through which an authorized MCVideo User can control camera functions not specifically related to the video stream,0
The UE shall transmit an ACTIVE SET UPDATE COMPLETE message to the SS on the uplink DCCH using AM RLC,1
Another alternative is the triggering of trace activation by the OMC,0
A network may be a 3GPP network or non-3GPP network Composition Process: A set of phases that all together describes the necessary procedures to perform a Network Composition between CCNs,0
The split architecture of a node does not put any architectural requirements on the peer nodes,0
NOTE 3: TDF is an optional functional entity,0
NOTE 4: Additional interfaces/reference points are documented,0
"NOTE 5: For a roaming architecture with local breakout, the Gx interface is defined between the PGW-C and PCRF in the visited network possible in a deployment with separated control and user planes",0
The ME may display channel opening information PDP context activation request. ,0
Alpha identifier shall be displayed with left alignment,0
The UE may request IPv4 or IPv4v6 address as PDP type.,0
SenderType String 1 is the type of the sender,0
"Efficiency calibration done with on this measurement uncertainty contributor, however, an upper bound to probe symmetry should be considered A.11 Tx-power drift of DUT",0
A single point power reference measurement in the beginning and at the end of the measurement procedure is recommended to monitor the power drift of the DUT,0
The 25sample DCT spectrum is divided into the 16 bands with the following number of frequency bins per band with cumulative frequency bins per band,0
The last frequency included in each of the 16 frequency bands are defined in Hz as the normalized correlation per band is defined as the cross-correlation vector is then smoothed between the different frequency bands using the following relation,0
The average of the smoothed cross-correlation vector is computed over the first 13 bands (representing 5575 Hz),0
This establishes the probability that a DUT passing the test actually meets the requirements and determines how many times a test has to be repeated and what the pass and fail criteria are,0
The annex contains a data sheet per Teleservice with all attributes and 5 Bearer capabilities supporting teleservices the technical features of a Teleservice as they appear to the user at the customer access point or an appropriate interface of a fixed network,0
S1 signaling could be considered for release 1,0
The hybrid access HeNB with RPR efficiently decreases the blocking probability to non-CSG members when HeNB is exhausting its resource,1
Results are shown for each of the two audio codecs in each of four MUSHRA tests for the three classes of Audio Content Results for four ST-LR tests (stressed operating conditions) by class of audio content,0
"It can be observed from figures 4 to 9 that Extended AMR-WB tends to perform relatively better for speech than for music, while Enhanced aacPlus tends to perform relatively better for music than for speech",0
The duration of a transmission frame in AMR-WB+ depends on the Internal Sampling Frequency,0
"This information element appears in particular if e.g., a change of this message is sent on the main DCCH by the network to the mobile station to change the channel configuration to another independent dedicated channel configuration, when no timing adjustment is needed",1
The code block size (CBS) is set to 40 bits (including 8 bits CRC) which corresponds to the required burst length for the random access,1
The configurations of the bursts for random access request used in the simulations are listed,0
Multiple PDCCHs can be transmitted in a subframe,0
"The block of bits on each of the control channels to be transmitted in a subframe, where is the number of bits in one subframe to be transmitted on physical downlink control channel number, shall be multiplexed, resulting in a block of bits , where is the number of PDCCHs transmitted in the subframe",0
This should indicate that the advertised activeServicePeriodEndTime time has been reached service with streamingSubtype set to STREAMING_BC_ONLY,1
"In the STALLED state, the MBMS client carries out all actions",0
In this state the MBMS client continuously monitors if the service is available again,0
The MBMS client downloads the DASH resources and makes them available as announced in the MPD,0
"If the MME does not indicate ""SMS only"" in the ATTACH ACCEPT message, subject to operator policies the MME should allocate a TAI list that does not span more than one location area For a shared network in CS domain, the MME indicates the selected PLMN for The UE, receiving an ATTACH ACCEPT message, stores the received location area identification, stops timer T3410, resets the location update attempt counter and sets the update status to U1 UPDATED",1
"The PDN GW/PCRF may restrict or increase, and negotiate the requested QoS as specified in clause ""PDP Context Activation Procedure""",1
This information flow is sent in unicast to the floor control server Information element Status Description MCPTT ID M Identity of party that initiated Functional alias of the requester,0
Source identifier Identifies the communication,1
This registration associates the P-CSCF with From the S-CSCF point of view,1
The P-CSCF is where the UE is reachable for mobile-terminated session control signalling and any other type of mobile terminated IMS signalling,1
Whether the procedures are activated individually by the UE or some of them are performed automatically depends on implementation of the terminal and UE could start the application level registration and steps would have to be executed in response to support the operation initiated by the application,1
"Scenario 3, Connection to IP with relay function; IP co-located with gsmSSF",0
Ideal FH case assumes perfect decorrelation between bursts,0
Below is the stage-3 description of the UE behaviour (RRC SIB5/6 handling),1
Further details are left to implementation,0
The Sample Description Box can be found in the ISO file format Box Structure Hierarchy shown in figure,0
The Sample Description Box can have one or more Sample Entries,0
Valid Sample Entries already defined for ISO and MP4 include MP4AudioSampleEntry and HintSampleEntry,1
"The I_MESSAGE encapsulates the PCK for the terminating MCPTT user, encrypting the key I_MESSAGE also contains an identifier for the PCK (PCK-ID)",1
The algorithm by which the BSS decides which PFCs that need resources is implementation specific,1
"This clause describes the Diameter-based PC6 and PC7 interfaces related procedures and Information elements exchanged between functional entities In the tables that describe the Information Elements transported by each Diameter command, each Information Element is marked as (M) Mandatory, (C) Conditional or (O) Optional in the ""Cat."" column",0
The PLMN may set restrictions including maximum size of Push data,1
The Push Service may offer classes of priority and service delivery,1
A rounded rectangle is a state,0
"In this, case parameter TariffSwitchInterval may be present either in the ApplyChargingGPRS operation or in the SendChargingInformationGPRS operation, but not in both operations",0
"If the Codec List (MSC Preferred) is included in Assignment Request, then the BSS shall not allocate a Circuit Identity Code on its own.",1
GRE tunnels are created between LMA,0
Figure shows the user plane protocol stack,0
For encoding and description see the Global Power Control,0
The TSC field (3 bit) is the binary representation of the training sequence code used for PBCCH,0
"TMGI Unknown, ""IP Multicast Address And APN Not Valid"", ""MBMS De-Registration Rejected Due To Implicit Registration"", ""MBMS - Request Superseded"", ""MBMS",1
Security context between the user and the serving network domain to which the VLR/SGSN belongs,1
"No PS bearers associated with this SIP dialog, or there are additional PS bearers (in addition to the CS bearer) associated with this SIP if there is a single CS bearer and no PS bearers associated with this SIP dialog, the SCC AS proceeds with the steps below, starting with the step 5; or reference point to the I1 interface, there is no need to update the remote UE by sending a new SDP offer since the CS media has been or if, in addition to a CS bearer, there are additional PS bearers associated with this SIP dialog, the SCC AS shall proceed as follows i) send a SIP re-INVITE request toward the CS domain",0
NOTE: The mandatory HTTP error status codes for the GET method listed in table,1
Headers supported by the 307 Response Code on this Name Data type P CardinalDescription Location string M 1 An alternative URI of the resource located in an alternative SCEF,0
"Parameters that are at the top most level within the hierarchy have no "">"" character",0
IMEI that the subscriber is using following successful Instance Id OC,1
"When the Test Tolerance is zero, the Test Requirement will be the same as the Minimum Requirement",1
This also enables authorization of small data delivery by specific AS and prevent unauthorized delivery of MT small data,1
The users own SIP URI to get notifications of changes on all lists owned by the user.,1
"Accept field is populated with the value ""application/xcap diff+xml"" indicating that the UE supports the MIME type.",1
The P-CSCF looks up the serving network information for the public user identity that was stored during the registration procedure.,1
"For the purposes of the present document, the terms and definitions given present document takes precedence over the definition of the same term, if example: text used to clarify abstract rules by applying them literally",0
The codeword is part of the privacy information that may be registered by a Target UE user.,1
"Current Location: after a location attempt has successfully delivered a location estimate and its associated time stamp, the location estimate",1
Deferred location request: a location request where the location response (responses) is (are) required after specific event has occurred,1
Clarification on the condition when the allowed NSSAI IE shall be included in the REGISTRATION ACCEPT message,1
In case a downlink only traffic flow(s) is to be added the UE shall provide an UL packet filter that effectively disallows any useful a valid state for the TFT settings of the PDN connection as defined operation results in the establishment of a new dedicated EPS,1
"If the UE wants to change the GBR in addition, the UE includes the GBR requirement of the EPS Bearer",1
"The reason code shall be REC_ACC_MODE_ABSOLUTE_CURRENT, recNumber is 0 and there is no current record selected, an instance of SIMViewException shall be thrown",1
This parameter corresponds to SIP Request Timestamp,0
"If the MS requested data in step 12 that is available in the SS, then SS provides the requested data in zero, one or more RRLP",0
The coding uses a subset basis sequences as the TFCI coder,0
In this subclause DSR performance is evaluated assuming legacy Maximum Ratio Combining (MRC) receivers for voice time slots in uplink and data time slots use IRC,0
"The three options are the 4 Mcps, 8 Mcps and 8 Mcps options respectively",0
"Call A-B shall enter the auxiliary state ""Split request"" and call A-C shall remain in state ""Call in MPTY""",1
Layer 3 will indicate to the data link layer which data link connection end point has been linked to,0
"When receiving a frame containing a layer 3 message unit, the data link layer will receive from the physical layer an indication concerning the type of channel on which the frame was received",0
"NOTE 2: If the terminating MSC supports incoming requests for a network initiated service change from speech to multimedia and was offered the 3G-32M2 codec and the terminal had indicated in the CALL CONFIRMED message with the""Enhanced Network-initiated ICM"" (ENICM) Capability for the support of Network-initiated service upgrade to multimedia, the terminating MSC shall include the 3G-32M2 codec as second codec in the list of available codecs after 3G-32M",0
"The originating MSC receives the Selected Codec and the list of available codecs, and, depending on the active mode, shall do the following  - if the Selected Codec is the 3G-32M codec, no In-Call Modification procedure is necessary",0
NOTE 1: The actual list of speech codecs is built according to OoBTC,0
The call was set up with a multimedia BC-IE first,0
This is not depicted in the figure,2
"For establishing and clearing MAP dialogues between peer MAP service, for reporting abnormal situations, for handling of different MAP versions, for testing whether or not a persistent MAP dialogue is still active",1
For these purposes the following common services are defined,0
In defining the service-primitives the following convention is used,0
The inclusion of the parameter is mandatory,2
All MAP service-users require access to services for performing basic operations,0
A MAP dialogue will consist of one or several MAP services,0
A14 MS check that the MS indicates a user action needed for a desire of A15,0
MS user does not answer the indication,1
The intermediate IM CN subsystem entities forward the SIP re-INVITE request to SCC AS according to standard IMS procedure,1
"As SCC AS receives the SIP re-INVITE request, it will indicate MRF to 2 SIP re-INVITE request",1
"In order to re-connect the CS bearer and IMS bearer, SCC AS will generate the SIP re-INVITE request towards MGCF with no SDP according to standard 3PCC procedure",1
The ports port_ps and port_pc are different from the standard SIP ports 5060 and 506,0
No unprotected messages shall be sent from or received on the ports port_ps and port_pc,1
The SCC AS responds to the intermediate IM CN subsystem entities with a SIP 100 (Trying) response,1
The RACH may also carry short user packets,0
The uplink shared channel (USCH) is an uplink transport channel shared by several UEs carrying dedicated control or traffic data,0
The downlink shared channel (DSCH) is a downlink transport channel shared by several UEs carrying dedicated control or traffic data,0
The High Speed Downlink Shared Channel (HS-DSCH) is a downlink transport channel shared by several UEs,0
"During comfort noise generation, NO_DATA frames are sent to the peer",1
"Based on this information, the receiving BSS can perform the best action depending on its mode",1
The BSS which has received a bad frame in the uplink sends it unmodified to the peer BSS,1
"Once local configuration is up-to date, it is used for access evaluation and based on the evaluation results both handover and composition decisions are carried out resulting in triggering a new composition establishment",1
"Some services are individual characteristics, however in general messaging services are made of messages that require immediate delivery, and messages that do not require immediate delivery",0
"If time to expiry of timer T3158 is greater than the indicated reporting period for the new cell, the mobile station shall immediately restart timer T3158 with the indicated reporting period for the new cell",1
"DSS1 and ISUP, thus enable the generation and transport of Compatibility Information for compatibility checking and terminal/function/service selection at the user-network interface as well as for MSC/IWF selection",1
There now exist networks which do not fall into either of these categories in that they provide for digital connectivity from subscriber to subscriber through the network,0
"The Re-Auth-Answer (RAA) command shall be indicated by the Command-Code field set to 258 and the ""R"" bit cleared in the Command Flags field, and shall be sent from a ePDG to a 3GPP AAA Server/Proxy",1
"The MBS Code Phase measurement accuracy shall fulfil the requirements in clauses, and the purpose of this test is to verify that the MBS Code Phase measurement accuracy is within the specified limits",1
CTS-SPM MS AUTHENTICATION REJECT is a message type,1
We discuss about Physical channels and mapping of transport channels onto physical channels (FDD),0
The AMF shall not indicate to the SMF to release the emergency PDU session,1
"The interface to the application and signaling plane carries information about SIP session initialisation and SIP session release, SDP content, etc",1
The transmission request queue is accessible both by the transmission and reception control interface towards the MCVideo client for all MCVideo clients in the call and the transmission and reception control arbitration logic,1
The network media interface is receiving and sending media from and to the associated MCVideo client via the participating MCVideo function,0
This procedure enables a caller to leave/record a voice message,2
The service request counter shall not be incremented,1
The service request procedure is initiated to establish a PDN connection for emergency bearer services,1
The service request is initiated in response to paging,1
The UE in NB-S1 mode is requested by the upper layer to transmit user data related to an exceptional event,1
the UE has a PDN connection for emergency bearer services,1
The UE is allowed to use exception data reporting,1
If the service request attempt counter is greater than or equal to 5 not attempt service request until expiry of timer T3325 unless the service request is initiated in response to paging from the service request is initiated to establish a PDN connection for the UE has a PDN connection for emergency bearer services,1
The UE is registered in a new PLMN; or the UE in NB-S1 mode is requested by the upper layer to transmit user data related to an exceptional event and the UE is allowed to use exception data reporting,1
"The network has failed the authentication check as if the UE triggered the service request procedure in order to obtain services other than packet services from EMM-IDLE mode, then the EMM sublayer shall abort the procedure and release locally any resources allocated for the service request procedure",1
"If the UE triggered the service request procedure in EMM-CONNECTED mode, the EMM sublayer shall abort the procedure and consider the service request procedure with ""active"" flag or the 1xCS fallback procedure as failed",1
RRC transaction identifier Arbitrarily selects an integer between 0 and message authentication SS calculates the value of MAC-I for this code message and writes to this IE,1
The affected QoS Rules and their status shall be supplied to the PCRF within the QoS-Rule-Report AVP,1
"In the case that the UE initiates a resource modification procedure, the BBERF shall include within the CC-Request the Event-Trigger AVP set to ""RESOURCE_MODIFICATION_REQUEST"" and shall include the Packet-Filter Operation AVP set",1
"When the UE requests to allocate new resources the BBERF shall set the Packet-Filter-Operation AVP to ""ADDITION"", and shall include within the CC Request a Packet-Filter-Information AVP for each packet filter requested by the UE and the QoS-Information AVP to indicate the requested QoS for the affected packet filters",1
Therefore no two remote GTP-U endpoints shall send traffic to a GTP-U protocol entity using the same TEID value except for data forwarding as part of the SRNS relocation or Intersystem Handling of Sequence Numbers,1
This functionality is provided only when the S bit is set to 1 in the GTP-U,1
The GTP-U protocol entity must reorder out of sequence T-PDUs when in sequence delivery is required,1
The program swapbin is also in this directory,0
Here are the abnormal cases in the UE,1
We list the following abnormal cases to be identified,1
a) Indication from the transport layer of transmission failure of DISCOVERY_REQUEST message,1
"The architecture for a large service provider, with a lot of existing legacy systems and applications, upon which many services are based, will be of high complexity",1
Option A applies if A.1/33 is supported,2
Option B applies if A.1/33 is not supported,2
TERMINAL RESPONSE: SEND SS BA or TERMINAL RESPONSE: SEND SS BB,0
[Command performed but requested icon could not be displayed],0
Option BA applies if A.1/33 is supported,2
Option BB applies if A.1/33 is not supported,2
"Expected Sequence A (SEND SS, call forward unconditional, all bearers, successful, basic icon non self-explanatory, successful)",0
The following abbreviations are relevant for this annex only,2
The 3GPP system provides means to authorize a source UE to communicate with another target UE via a UE-to-UE Relay,1
NOTE: It is possible that a P-Asserted-Identity header field includes both a tel URI and a SIP URI,1
PS the ATTACH REQUEST message was transmitted,1
The bit1 (GNSS) may be selected parameter (defined in Section),0
"If the positioning method parameter indicates both E-Cell ID and GNSS positioning, the eNB may use E-Cell ID measurement collection only if the UE does not provide GNSS based location information",1
"Whether or is signaled as part of the downlink, virtual resource blocks of distributed type are numbered from 0",0
Consecutive VRB numbers compose a unit of VRB number,0
RADIUS based Information Elements Contents,0
"RADIUS based Information Elements Contents are IE NAME, IE description, Access Attribute",1
The interfering signals shall be GMSK modulated with a pseudo random bitstream without midamble,0
The packet processing function in the SeNB shall send upstream packets of a given E-RAB to the MeNB IP address (received in X2AP) associated to the UL transport bearer of that particular E-RAB,0
Data forwarding may be performed by MeNB providing GTP-U TEID to receive the DL data forwarded by the SeNB,0
This SDP offer shall also include information that makes it possible for a subsequent OMR-capable entity to detect if an intermediate entity has changed any codec information for the media line without also changing the connection and port information for the media line,1
"To bypass one or more previous TrGWs for a media line, an IMS-ALG shall include an IP realm instance with valid connection information for the earliest acceptable IP realm in the forwarded SDP answer",1
"Otherwise, the Short sender of the Instant Message requests to hide its Public User Identity from the recipient and operator policy allows for this, the IP-SM-GW shall anonymise the identity of the user to the recipient",1
The BM-SC pulls here segments from CDN like any other,0
Some relations with the content provider are certainly needed,0
The further processing of the received data and the proper presentation is not in scope of the present document,0
The NW RRC determines the need for hard handover based on received measurement reports or load control,1
For inter-frequency handover the measurements are assumed to be performed,0
The NW RRC first configures the NW L1 to activate the new radio links,0
"To be able to access a Representation, each of the media streams that are contained in the Representation requires Media Stream Access Points (SAPs)",0
"Annex G.6 defines different types of SAPs that provide a relationship between the position where a stream can be accessed, a SAP, relative to the start of a Segment or Subsegment, its presentation time and the presentation times and position of other access unit in the stream",0
A SAP is a position in a Representation that enables playback of a media stream to be started using only the information contained in Representation data starting from that position onwards,0
"It is preceded by initializing data in the Initialization Segment, if any",0
"For each SAP the properties, ISAP, TSAP, ISAU, TDEC, TEPT, and TPTF are identified and defined in Annex G",0
"In particular, TSAP is defined to be earliest presentation time of any access unit of the media stream such that all access units of the media stream with presentation time greater than or equal to TSAP can be correctly decoded using data in the Representation starting at byte position ISAP and no data before ISAP Non-overlapping Segments and Subsegments Segments and Subsegments represent units for which the client has an exact map on how to access and download the unit using HTTP GET or HTTP partial Segments (respectively Subsegments) are typically generated by segmenting encoded media streams into appropriate units",1
"If this parameter is not configured, authorization to use the group shall be obtained from the identity management server identified in the initial MC service",1
The use of this parameter by the MCPTT UE is outside the scope of this document,0
"If this parameter is absent, the KMSUri shall be that identified in the initial MC service",1
Access information for each partner MCPTT system comprises the list of information required for initial UE configuration to access an Reference Parameter description MCPTT MCPTT ConfiguratMCPTT UE Server ion user,1
Announcement information may indicate whether or not the granted quota for the IMS session shall be used for playing the announcement,0
"The UE has two options such as, activate a PDP context using the PDP Context Activation Procedure and obtain a new IP address",1
"Since the table entries in GSM 05 are relative, as the level of the transmitter is reduced, the absolute specification becomes tighter",0
Thus one of the operators may be preferred by some roamers and the other operator preferred by other roamers,0
The 5GC still pages UE in CM-IDLE within the allocated Registration Area,1
The overall architectural feature of Alarm IRP is specified in 3G TS 31 B,0
The conference policy contains the rules on how the Conference Focus operates in a conference,0
"This section will analyse the scenarios for SGW failure and corresponding consequences according to the current procedures SGW failure will be detected by the PGW, MME and SGSN as per restart procedure specified in 3GPP TS 207",1
The GGSN receiving the Recovery information element shall handle it as when an Echo Response message is received but shall consider the MBMS Bearer context being activated,1
The response indicates successful context activation at the SGSN,1
The Tunnel Endpoint Identifier for Data (I) field specifies a downlink Tunnel Endpoint Identifier for G-PDUs that is chosen by the SGSN,1
This shows relation between input and output of the Cyclic Redundancy Check,2
This parameter refers to the resynchronisation token,2
This parameter refers to the ciphering mode which is associated with a radio channel,1
"The value ""1"" is assigned by IETF to the Raptor Code",0
The value of the FEC scheme specific info is base64 Binary encoded,0
"The UE needs the capability to forward received Warning Notifications, to reply to received specified Warning Notifications, or to copy",1
Considering the L1 signalling approach second HS-SCCH message would be used for reactivation for even a high number of inactive users,1
It is done by using the contents of the Handover From GAN Command IE,1
"3GPP TS 210 gives the necessary information for interworking between the 3GPP TS 213 RANAP protocol, GSM handover procedures and the 3GPP TS 202 MAP protocol",0
Multiple PDN connectivity 10 Dual-Stack Mobile IPv6 initial attach 11,1
The two PDCHs constituting a PDCH-pair need not be contiguous,0
"SFN-SFN observed Io [dBm/3, 84 [MHz] 2 is on Band",0
Four spectral envelopes and four time envelopes are decoded from the received bitstream for TRANSIENT frames.,0
Overall system uncertainty for static conditions is equal to signal-to-noise ratio uncertainty.,0
AWGN and related constraints are given in Table.,0
Overall system uncertainty comprises three quantities,0
Here the discussion is wanted signal level error,0
Additional impact of interferer signal level error is described here,0
Leakage Items 1 and 2 are assumed to be uncorrelated so can be root sum squared to provide the ratio error of the two signals.,0
"TEvaluate_Qout_CatM1 = 5*rmax*G ms and TEvaluate_Qin_CatM1 = 5*rmax*G ms, provided the below conditions are met, where rmax*G is MPDCCH, monitoring cycle length and parameters rmax and G are as specified in UE is not receiving PDSCH otherwise TEvaluate_Qout_CatM1 = 400 ms and TEvaluate_Qin_CatM1 = 200 ms.",1
These parts can always be decoded regardless of the standard version.,0
"The peer UE in bad coverage can send a UEAssistanceInformation message with delayBudgetReport set to type2 to its eNB to indicate a preference on Uu air interface delay adjustments, see specification documents.",0
The IE contains fields needed to model the propagation delays of the GANSS signals through the ionosphere,0
No new signalling resources need to be allocated in this context.,0
"Based on UE and Access Network capabilities, the UE may also maintain some of the media flows in the transferring-out Access Network while transferring the other media flows to the transferring-in Access Network Enablement of Access Transfer procedures.",0
A 3pcc (3rd party call control) function is employed to anchor IMS sessions at the SCC AS upon session establishment for enablement of Access Transfer.,1
The SCC AS is invoked as part of originating or terminating iFC execution call control function.,1
The ME shall overwrite the existing GPRS GSM Kint with the new GPRS GSM Kint.,1
The NW RRC configures the NW and acknowledges the connection re-establishment to the UE RRC with a CELL UPDATE CONFIRM message.,1
"If SCTD is active within a cell SCTD shall be applied to any beacon channel, and the maximum number KCell of midambles for burst type 1 that are supported in this cell may be 8 or 16.",0
 MME stores the media information via PCC that will be signalled to MSC Server/MGW enhanced for E-UTRAN/UTRAN (HSPA),0
The media packets with the UE The UE1 IP address is used by the MGW.,0
"In order to increase efficiency, each MBMS Bearer Service is provisioned to carry the traffic of multiple MCPTT groups.",0
Each S-NSSAI value consists of one S-NSSAI and optionally one mapped S-NSSAI.,1
"If the recipient of this information element is the UE, the UE shall store the complete list received.",0
The EPS Bearer QoS contains the EPS subscribed QoS profile to be updated.,0
"The Serving GW sends the Modify Bearer Command (EPS Bearer Identity EPS Bearer QoS, APN AMBR) message to the PDN GW.",0
"The table assumes that two operating bands, where the frequency ranges would be overlapping, are not deployed in the same geographical area.",0
SIGN_VAR shall be included in the channel quality report.,0
The same or the most recent SIGN_VAR value shall be sent and no new reporting period shall be started.,0
Access Classes 11 and 15 may be used for network internal use.,0
eMLPP Priority Level A may be used for network internal use.,0
Priority Level 1 may be used for network internal use A.,0
"If the routing area updating attempt counter is greater or equal to 5 the mobile station shall delete any LAI, TMSI, ciphering key sequence number stored in the SIM/USIM and list of equivalent PLMNs and set the update status to U2 NOT UPDATED A GPRS MS operating in MS operation mode.",1
The mobile station shall then proceed with appropriate MM specific procedure; a GPRS MS operating in MS operation mode.,1
The mobile station may then proceed with appropriate MM specific procedures The MM sublayer shall act as in network operation mode II or III (depending whether a PCCCH is present) as long as the combined GMM procedures are not successful and no new RA is entered.,1
T2 equals to 5 s and it starts when T1 has expired.,0
"The local detach includes deleting any RAI, P TMSI, P-TMSI signature and GPRS ciphering key sequence number stored setting the GPRS update status to GU2 NOT UPDATED and changing state to GMM",1
"If S1 mode is supported by the MS, the MS shall in addition handle the EMM parameters EMM state, EPS update status, last visited registered TAI.",1
"when a paging for EPS services using IMSI is received In Iu mode, then the MS shall abort the GMM specific procedure, and the MS shall proceed according to the description in this clause.",1
"when an MS receives a paging request for GPRS services using the IMSI from the network before an MS initiated GMM specific procedure has been completed then the MS shall abort the GMM specific procedure, and the MS shall proceed accordingly.",1
"After performing the local detach, the MS shall then perform a GPRS attach or combined GPRS attach procedure.",1
"After performing the attach, the MS should activate PDP context(s) to replace any previously active PDP context(s).",1
This information element shall be included when requesting a new bearer.,0
Start MRFP Context M: This information element multime indicates the context where the dia command was executed.,0
"To enable SDUs containing MBMS Access Information messages to be transmitted at their designated times, the transmitter may transmit PDUs",0
"The transmitter should not transmit within a single PDU, SDUs or fractions of SDUs that contain MBMS Access Information messages with the special length indicator ""0000 000"",""0000 0000 0000 000"" and ""1111 1111 1111 011""",0
"The local synthesis speech, is computed by filtering the excitation signal.",0
"This requirement does not apply to UTRA FDD Repeater XXXII or operating in band XI, XXI or E-UTRA XXXII, since it is already in sub-clause 1, but requires a 86dB coupling loss between BS and the repeater DL receive port.",0
The expectations of the services differ in that some are designed to be used in delivery at a later stage.,0
The 3GPP Technical Report TR240 identifies the issues and needs surrounding messaging solutions related to the 3GPP IP Multimedia Subsystem (IMS) taking into consideration use cases that illustrate the needs of both service providers and users.,0
It needs to be configured with Geographical Identifier - MME needs to maintain a mapping table between ECGI list and Geographical Identifier unless it only serves one Geographical area,0
"If for a given PDP Context the new SGSN does not receive a PFI from the old SGSN, it shall not request the target BSS to allocate TBF resources corresponding to that PDP Context.",0
